#separator:tab
#html:false
действие	action		/ˈækʃn/	[uncountable]  the process of doing something in order to make something happen or to deal with a situation [countable] a thing that somebody does	И каждое действие, которое совершает игрок, включает в себя определенный тип физического действия.	И каждое [....], которое совершает игрок, включает в себя определенный тип физического [....].	Divers were close at hand, ready to go into action if the stunt went wrong.What is the best course of action in the circumstances?She began to explain her plan of action to the group	Divers were close at hand, ready to go into [...] if the stunt went wrong. She began to explain her plan of [...] to the group	measure ▪ step ▪ act ▪ move	actions speak louder than words ​(saying) what a person actually does means more than what they say they will do	
скучный, скучающий	bored	adjective	/bɔːd/	feeling tired and impatient because you have lost interest in somebody/something or because you have nothing to do	Я ужасно скучный и сказать мне особенно нечего Когда ты скучающий подросток с жаждой разрушения. Потерянная рыба-лев, удивительная рыба-попугай и даже скучающий осьминог.	Я ужасно ----- и сказать мне особенно нечего Когда ты ------ подросток с жаждой разрушения. Потерянная рыба-лев, удивительная рыба-попугай и даже --- осьминог.	There was a bored expression on her face.She plays the role of a bored housewife.She was rather bored with her life in a small town.A lost lion fish, a wondering parrot fish and even a bored octopus.	There was a ---expression on her face.She plays the role of a ---- housewife.She was rather ---- with her life in a small town.A lost lion fish, a wondering parrot fish and even a ----- octopus.		be scared/bored witless ​(informal) to be extremely frightened or bored	
сапог, загрузка	boot	noun	/buːt	a strong shoe that covers the foot and ankle and often the lower part of the leg	Прочный зимний сапог с быстросохнущим съемным вкладышем.	Прочный зимний ---- с быстросохнущим съемным вкладышем.	A durable winter boot with a fast-drying removable felt lining. She wore black knee-high boots	A durable winter ---- with a fast-drying removable felt lining. She wore black knee-high -----		the boot is on the other foot (British English)  (North American English the shoe is on the other foot)​used  to say that a situation has changed so that somebody now has power or  authority over the person who used to have power or authority over them    be given the boot | get the boot ​(informal) to be told that you must leave your job or that a relationship you are having with somebody is overHe should have been given the boot years ago.	
карьера	career	n.	/kəˈrɪə(r)/	the series of jobs that a person has in a particular area of work, usually involving more responsibility as time passes	У меня была потрясающая карьера, где не было недостатка результатов. А она своим поступком все разрушила, в том числе и его карьеру. Дело в том, что Жульен всегда на первое место ставил свою карьеру.	У меня была потрясающая -----, где не было недостатка результатов. А она своим поступком все разрушила, в том числе и его ------. Дело в том, что Жульен всегда на первое место ставил свою ----- .	She has been concentrating on her career.a change of careerThat will be a good career move (= something that will help your career).We wish our graduates every success in whatever career path they have chosen	She has been concentrating on her ---.a change of ----That will be a good ----- move (= something that will help your -----).We wish our graduates every success in whatever ------ path they have chosen	employment ▪ work ▪ profession ▪ occupation ▪ trade		
век, столетие	century	n.	/ˈsentʃəri/	a period of 100 years	Давайте посмотрим, что нам предлагает двадцать первый век в качестве вариантов инвестирования. Двадцать первый век можно охарактеризовать как век перемен.  19-й век был веком империй, 20-й век был веком национальных государств.	Давайте посмотрим, что нам предлагает двадцать первый ---- в качестве вариантов инвестирования. Двадцать первый --- можно охарактеризовать как --- перемен.  19-й --- был ----- империй, 20-й ---- был ---- национальных государств.	A century ago, Valparaiso was the country's main port.He was born more than a century after the death of Confucius.They have lived there for centuries.Their techniques have evolved over the centuries.Those stories have been told again and again through the centuries.	A ----- ago, Valparaiso was the country's main port.He was born more than a ------ after the death of Confucius.They have lived there for ------.Their techniques have evolved over the -----.Those stories have been told again and again through the ----.			
изменять, менять	change	verb	/tʃeɪndʒ/	[intransitive] to become different	Всякое изменение есть изменение чего-то, изменение предполагает что-то, что изменяется.  А любое изменение может привести к коренным переменам.  «Перемены в обществе начинаются с перемен в самом человеке.	Всякое ---- есть ------ чего-то,------ предполагает что-то, что изменяется.  А любое------- может привести к коренным ---------. --------- в обществе начинаются с ------- в самом человеке.	Rick hasn't changed. He looks exactly the same as he did at school.We examined changing attitudes towards education.The company failed to adapt to changing circumstances.Things have changed dramatically since then.Her life changed completely when she won the lottery. change with something My attitude to life has changed with age.	Rick hasn't ------. He looks exactly the same as he did at school.We examined -------attitudes towards education.The company failed to adapt to ----------- circumstances.Things have --------- dramatically since then.Her life ------------ completely when she won the lottery.change with something My attitude to life has ----------- with age			
изменение, сдача	change	n	/tʃeɪndʒ/	[countable, uncountable] the act or result of something becoming different  [uncountable] the money that you get back when you have paid for something giving more money than the amount it costs	Но любая трансформация предполагает изменения, а люди не любят изменений. Это, на первый взгляд, незначительное изменение формулировки несло в себе революционную смену идей. Одностороннее изменение условий брачного договора не допускается. Оставьте сдачу себе	Но любая трансформация предполагает ------------, а люди не любят  --------. Это, на первый взгляд, незначительное  ----------- формулировки несло в себе революционную ------ идей. Одностороннее ------------ условий брачного договора не допускается. Оставьте ----- себе	We're hoping for a change in the weather.There was no change in the patient's condition overnight.I need to make some major changes in my life.Don't forget your change!That's 40p change.The ticket machine gives change.	We're hoping for a ----- in the weather.There was no ------- in the patient's condition overnight.I need to make some major ------ in my life. Don't forget your ------!That's 40p ------.The ticket machine gives -------.			
график, схема	chart	n.	/tʃɑːt/	[countable] a diagram, lists of figures, etc. that shows information	Лучше всего сформировать свой график питания.  Она также известна как график предшествования, сетевой график и логическая диаграмма.       Этот график показывает, что золото отлично выполняет свою работу.	Лучше всего сформировать свой ---- питания.  Она также известна как ---- предшествования, сетевой ---- и логическая диаграмма.    Этот ---- показывает, что золото отлично выполняет свою работу.	The accompanying chart shows data for eight countries.a sales chart (= showing the level of a company’s sales)an astrological charta weather chartcomparative charts of prices of food items now and in 2012	The accompanying ---- shows data for eight countries.a sales ---- (= showing the level of a company’s sales)an astrological ----a weather ----comparative ---- of prices of food items now and in 2012			
общий, распространенный	common	adj.	/ˈkɒmən/	happening often; existing in large numbers or in many places [usually before noun] shared by or belonging to two or more people or by the people in a group	Мы по-прежнему будем стремиться к поиску общих ценностей, общих интересов и общих устремлений  В течение предыдущих столетий смертная казнь была очень распространенной формой наказания в Европе.  Таким образом, возникла необходимость в центре, который бы объединял общую работу.	Мы по-прежнему будем стремиться к поиску --- ценностей, --- интересов и --- устремлений В течение предыдущих столетий смертная казнь была очень --- формой наказания в Европе.  Таким образом, возникла необходимость в центре, который бы объединял --- работу.	They share a common interest in photography.to have a common ancestor/enemythe need to cooperate to achieve a common goalJackson is a common English name.Some birds that were once a common sight are now becoming rare.a common spelling mistake	They share a --- interest in photography.to have a ---  ancestor/enemythe need to cooperate to achieve a ---  goalJackson is a ---  English name.Some birds that were once a ---  sight are now becoming rare.a ---  spelling mistake			
сравнивать	compare	v.	kəmˈpɛər		Давайте сравним цены перед покупкой. Сравнение разных моделей поможет выбрать подходящий автомобиль.Этот сайт позволяет сравнивать цены на различные товары.	Давайте --- цены перед покупкой. --- разных моделей поможет выбрать подходящий автомобиль.Этот сайт позволяет --- цены на различные товары.	Let's compare prices before making a purchase.  Comparing different models will help choose the right car.This website allows you to compare prices for various products.	Let's ---- prices before making a purchase.  ---- different models will help choose the right car.This website allows you to ---- prices for various products.			
Полный	Complete	(adjective)	kəmˈpliːt	Having all the necessary or appropriate parts	Полный пазл - это весь.  После долгих усилий работа была полностью завершена.  Этот проект требует полного внимания к деталям.	--- пазл - это весь. После долгих усилий работа была --- завершена. Этот проект требует --- внимания к деталям.	A completed puzzle is whole.  After much effort, the task was completely  finished. This project requires complete attention to detail	A --- puzzle is whole.  After much effort, the task was --- finished.  This project requires --- attention to detail	Whole, entire, finished, total, comprehensive.		
Завершить	Complete	(verb)	kəmˈpliːt	Finish making or doing.	Мы планируем завершить проект к концу недели.  Необходимо завершить все  этапы исследования.  Он смог успешно завершить свое обучение.	Мы планируем ---- проект к концу недели. Необходимо ---- все этапы исследования. Он смог успешно ---- свое обучение.	We plan to complete the project by the end of the week.  It is necessary  to complete all stages of the research.  He was able to successfully  complete his training.	We plan to ---- the project by the end of the week. It is necessary to ---- all stages of the research. He was able to successfully ----  his training.	Finish, conclude, accomplish, achieve, attain.		
Разговор, общение	Conversation	(noun)	ˌkɒnvəˈseɪʃən	A talk, especially an informal one, between two or more people, in which news and ideas are exchanged.	Вчера у нас был долгий и интересный разговор.  Ведение конструктивного  разговора способствует решению проблем.  Разговор с друзьями всегда  приносит радость	Вчера у нас был долгий и интересный ---. Ведение конструктивного --- способствует решению проблем. --- с друзьями всегда приносит радость	Yesterday we had a long and interesting conversation.  Engaging in  constructive conversation helps solve problems.  Conversing with friends  always brings joy.	Yesterday we had a long and interesting ----. Engaging in constructive ---- helps solve problems. ---- with friends always brings joy.	Discussion, talk, chat, dialogue, discourse.		
Правильный	Correct	(adjective)	kəˈrɛkt	Free from error; in accordance with fact or truth.	Пожалуйста, предоставьте правильный ответ на вопрос. Корректная  информация важна для принятия решений. Сделайте корректные настройки  перед использованием программы.	Пожалуйста, предоставьте --- ответ на вопрос.  ---информация важна для принятия решений.  Сделайте --- настройки перед использованием программы.	Please provide the correct answer to the question.  Accurate information  is crucial for decision-making.  Make the correct settings before using  the program.	Please provide the --- answer to the question. --- information is crucial for decision-making.  Make the --- settings before using the program.	Accurate, right, true, exact, proper.		
Исправить	Correct	(verb)	kəˈrɛkt	Put right (an error or fault).	Нам нужно исправить эту орфографическую ошибку.  Исправьте свои действия,  чтобы избежать недоразумений.  Он всегда готов исправить свои ошибки.	Нам нужно ---  эту орфографическую ошибку. ---  свои действия, чтобы избежать недоразумений. Он всегда готов ---  свои ошибки.	We need to correct this spelling mistake.  Correct your actions to avoid  misunderstandings.  He is always ready to correct his mistakes.	We need to --- this spelling mistake. ---  your actions to avoid misunderstandings. He is always ready to ---  his mistakes.	Amend, rectify, fix, revise, adjust		
Курс	Course	(noun)	kɔːrs	The route or direction followed by a ship, aircraft, road, or river.	Курс этого корабля направлен на север.  Изучение нового предмета - это  интересный путь.  Этот курс включает в себя разнообразные учебные  материалы.	---- этого корабля направлен на север. Изучение нового предмета - это интересный ----. Этот ---- включает в себя разнообразные учебные материалы.	The course of this ship is heading north.  Studying a new subject is an  interesting path.  This course includes diverse learning materials.	The  ---- of this ship is heading north. Studying a new subject is an interesting ----. This ---- includes diverse learning materials.	Path, route, trajectory, track, way.		
Культура	Culture	(noun)	ˈkʌltʃər	The ideas, customs, and social behavior of a particular people or society.	Культура страны влияет на менталитет ее граждан.  Познание культуры  разных стран расширяет горизонты.  Культурное наследие играет важную роль  в формировании личности.	---  страны влияет на менталитет ее граждан. Познание ---  разных стран расширяет горизонты. ---  наследие играет важную роль в формировании личности	The culture of a country influences the mentality of its citizens.   Exploring the culture of different countries broadens horizons.  Cultural  heritage plays a crucial role in shaping identity.	The ---  of a country influences the mentality of its citizens. Exploring the ---  of different countries broadens horizons. --- heritage plays a crucial role in shaping identity.	Civilization, society, way of life, lifestyle, tradition.		
Описывать	Describe	(verb)	dɪsˈkraɪb	Give a detailed account in words.	Попробуйте описать свой любимый фильм. Автор живо описывает обстановку в  романе.  Художник умело описывает свои впечатления в картинах.	Попробуйте ---  свой любимый фильм. Автор живо ---  обстановку в романе. Художник умело ---  свои впечатления в картинах.	Try to describe your favorite movie.  The author vividly describes the  setting in the novel.  The artist skillfully portrays his impressions in  paintings	Try to --- your favorite movie. The author vividly ---  the setting in the novel. The artist skillfully ---  his impressions in paintings	Portray, represent, narrate, depict, delineate.		
Взволнованный	Excited	(adjective)	ɪkˈsaɪtɪd	Very enthusiastic and eager.	Вчера я был взволнованный перед интересным событием.  Он с восторгом  рассказывал о своем увлекательном путешествии.  Маленькие дети всегда  взволнованы на Рождество.	Вчера я был --- перед интересным событием. Он с восторгом рассказывал о своем --- путешествии. Маленькие дети всегда --- на Рождество.	Yesterday, I was excited before the exciting event. He enthusiastically talked about his thrilling journey. Little children are always excited about Christmas.	Yesterday, I was excited before the --- event. He enthusiastically talked about his --- journey. Little children are always --- about Christmas.	Enthusiastic, eager, thrilled		
Увлекательный	Exciting	(adjective)	ɪkˈsaɪtɪŋ	Producing great interest or excitement.	Книга была настолько увлекательной, что я не мог оторваться.  Увлекательный фильм оставил яркое впечатление.  Путешествие в  неизведанные места всегда приносит увлекательные впечатления.	Книга была настолько ----, что я не мог оторваться. ---- фильм оставил яркое впечатление. Путешествие в неизведанные места всегда приносит ---- впечатления.	The book was so exciting that I couldn't put it down. An exciting movie left a vivid impression. Traveling to unexplored places always brings exciting experiences.	The book was so ---- that I couldn't put it down. An ---- movie left a vivid impression. Traveling to unexplored places always brings ---- experiences.	Thrilling, stimulating, captivating		
Дополнительный	Extra	(adjective)	ˈɛkstrə	Added to what is normal or usual	Дополнительные усилия приведут к большему успеху.  Это было что-то  дополнительное, что я добавил к подарку.  Она всегда приносит что-то  дополнительное к обеду.	---  усилия приведут к большему успеху. Это было что-то --- , что я добавил к подарку. Она всегда приносит что-то ---  к обеду.	Extra efforts will lead to greater success. It was something extra that I added to the gift. She always brings something extra to lunch.	---  efforts will lead to greater success. It was something ---  that I added to the gift. She always brings something --- to lunch.	Additional, supplementary, surplus		
Наполнять	Fill	(verb)	fɪl	Make or become full	Наполните чашу водой до верха.  Воздушные шарики были наполнены гелием.  После долгой прогулки, горячий суп наполнил его энергией.	--- чашу водой до верха. Воздушные шарики были --- гелием. После долгой прогулки, горячий суп --- его энергией.	Fill the cup with water to the top. The balloons were filled with helium. After a long walk, the hot soup filled him with energy.	--- the cup with water to the top. The balloons were --- with helium. After a long walk, the hot soup --- him with energy.	Load, pack, stuff	Fill in the blanksFill the bill	
Форма	Form	(noun)	fɔːm	The visible shape or configuration of something.	Форма этого здания уникальна.  Они создали красивую форму в искусстве.  Учитель дал задание заполнить форму.	---- этого здания уникальна. Они создали красивую ----в искусстве. Учитель дал задание заполнить ----.	The form of this building is unique. They created a beautiful form in art. The teacher gave an assignment to fill out the form.	The ----of this building is unique. They created a beautiful ----in art. The teacher gave an assignment to fill out the ----.	Shape, structure, configuration		
